Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating
ID0074,2015-01-02 11:26:52.800,Becky,Washing Machine,Y,Y,122.0,00:04:52.754000,1.0
ID0075,2015-01-02 11:42:43.200,Stewart,Air Conditioner,Y,N,125.0,00:01:37.874000,3.0
ID0076,2015-01-02 11:42:43.200,Diane,Fridge,N,N,,,
ID0077,2015-01-02 11:47:02.400,Martha,Air Conditioner,Y,Y,33.0,00:06:37.971000,2.0
ID0078,2015-01-02 11:47:02.400,Dan,Washing Machine,Y,Y,51.0,00:06:22.227000,2.0
ID0079,2015-01-02 11:54:14.400,Becky,Washing Machine,Y,Y,58.0,00:03:28.045000,3.0
ID0080,2015-01-02 11:54:14.400,Dan,Fridge,Y,Y,121.0,00:04:47.102000,5.0
ID0081,2015-01-02 12:00:00.000,Diane,Fridge,Y,Y,118.0,00:02:05.978000,4.0
ID0082,2015-01-02 12:00:00.000,Greg,Toaster,Y,Y,52.0,00:06:56.283000,4.0
ID0083,2015-01-02 12:20:09.600,Stewart,Fridge,Y,Y,55.0,00:04:44.066000,3.0
ID0084,2015-01-02 12:20:09.600,Dan,Washing Machine,Y,Y,68.0,00:05:58.783000,4.0
ID0085,2015-01-02 12:41:45.600,Becky,Air Conditioner,Y,Y,106.0,00:04:22.305000,5.0
ID0086,2015-01-02 12:41:45.600,Martha,Air Conditioner,Y,Y,32.0,00:04:35.922000,3.0
ID0087,2015-01-02 12:44:38.400,Jim,Toaster,N,N,,,
ID0088,2015-01-02 12:44:38.400,Martha,Fridge,Y,N,45.0,00:01:25.764000,4.0
ID0089,2015-01-02 12:59:02.400,Joe,Air Conditioner,Y,Y,119.0,00:03:32.199000,4.0
ID0090,2015-01-02 12:59:02.400,Dan,Television,N,N,,,
ID0091,2015-01-02 13:03:21.600,Jim,Washing Machine,Y,Y,46.0,00:05:40.873000,1.0
ID0092,2015-01-02 13:03:21.600,Stewart,Air Conditioner,Y,Y,101.0,00:01:28.348000,3.0
ID0093,2015-01-02 13:04:48.000,Jim,Air Conditioner,Y,Y,56.0,00:02:51.558000,3.0
ID0094,2015-01-02 13:04:48.000,Becky,Air Conditioner,Y,Y,80.0,00:00:53.052000,3.0
ID0095,2015-01-02 13:13:26.400,Diane,Television,Y,Y,24.0,00:01:36.231000,3.0
ID0096,2015-01-02 13:13:26.400,Stewart,Toaster,Y,Y,113.0,00:03:54.192000,2.0
ID0097,2015-01-02 13:20:38.400,Greg,Washing Machine,Y,Y,19.0,00:02:02.615000,4.0
ID0098,2015-01-02 13:20:38.400,Martha,Television,N,N,,,
ID0099,2015-01-02 13:20:38.400,Dan,Washing Machine,Y,Y,45.0,00:06:37.184000,3.0
ID0100,2015-01-02 13:20:38.400,Diane,Air Conditioner,Y,Y,95.0,00:05:11.479000,1.0
ID0101,2015-01-02 13:45:07.200,Becky,Air Conditioner,N,N,,,
ID0102,2015-01-02 13:45:07.200,Martha,Air Conditioner,Y,N,79.0,00:05:30.909000,1.0
ID0103,2015-01-02 13:49:26.400,Diane,Toaster,Y,Y,22.0,00:03:56.208000,2.0
ID0104,2015-01-02 13:49:26.400,Martha,Washing Machine,Y,Y,38.0,00:06:35.917000,1.0
ID0105,2015-01-02 13:53:45.600,Becky,Air Conditioner,Y,Y,112.0,00:03:25.088000,5.0
ID0106,2015-01-02 13:53:45.600,Becky,Toaster,Y,Y,65.0,00:04:57.058000,3.0
ID0107,2015-01-02 14:22:33.600,Joe,Television,N,N,,,
ID0108,2015-01-02 14:22:33.600,Becky,Washing Machine,Y,N,55.0,00:02:31.659000,1.0
ID0109,2015-01-02 14:52:48.000,Stewart,Fridge,N,N,,,
ID0110,2015-01-02 14:52:48.000,Joe,Television,Y,Y,19.0,00:02:38.368000,2.0
ID0111,2015-01-02 15:10:04.800,Becky,Air Conditioner,Y,Y,53.0,00:00:56.144000,3.0
ID0112,2015-01-02 15:10:04.800,Diane,Air Conditioner,Y,Y,24.0,00:06:05.527000,5.0
ID0113,2015-01-02 15:36:00.000,Martha,Television,Y,Y,73.0,00:06:00.798000,3.0
ID0114,2015-01-02 15:36:00.000,Stewart,Air Conditioner,N,N,,,
ID0115,2015-01-02 17:36:57.600,Jim,Air Conditioner,Y,Y,55.0,00:05:47.236000,5.0
ID0116,2015-01-02 17:36:57.600,Greg,Toaster,N,N,,,
ID0117,2015-01-02 17:47:02.400,Diane,Television,N,N,,,
ID0118,2015-01-02 17:47:02.400,Martha,Television,Y,Y,23.0,00:05:17.864000,4.0
ID0119,2015-01-03 09:10:04.800,Dan,Toaster,Y,N,124.0,00:02:22.544000,5.0
ID0120,2015-01-03 09:10:04.800,Dan,Washing Machine,N,N,,,
ID0121,2015-01-03 09:47:31.200,Dan,Air Conditioner,Y,Y,103.0,00:01:01.070000,4.0
ID0122,2015-01-03 09:47:31.200,Martha,Washing Machine,Y,Y,69.0,00:03:45.047000,4.0
ID0123,2015-01-03 10:29:16.800,Joe,Television,Y,Y,78.0,00:01:11.641000,3.0
ID0124,2015-01-03 10:29:16.800,Martha,Air Conditioner,Y,Y,78.0,00:03:25.945000,5.0
ID0125,2015-01-03 10:37:55.200,Martha,Air Conditioner,N,N,,,
ID0126,2015-01-03 10:37:55.200,Diane,Toaster,Y,Y,44.0,00:05:38.403000,4.0
ID0127,2015-01-03 10:52:19.200,Martha,Fridge,Y,Y,35.0,00:02:45.580000,4.0
ID0128,2015-01-03 10:52:19.200,Becky,Fridge,Y,Y,102.0,00:05:25.589000,4.0
ID0129,2015-01-03 10:52:19.200,Jim,Washing Machine,Y,Y,99.0,00:05:51.341000,3.0
ID0130,2015-01-03 10:52:19.200,Jim,Fridge,Y,Y,29.0,00:04:09.150000,3.0
ID0131,2015-01-03 10:58:04.800,Becky,Fridge,Y,N,42.0,00:00:58.547000,5.0
ID0132,2015-01-03 10:58:04.800,Diane,Toaster,Y,Y,113.0,00:05:39.711000,4.0
ID0133,2015-01-03 11:02:24.000,Dan,Fridge,Y,Y,124.0,00:00:53.199000,2.0
ID0134,2015-01-03 11:02:24.000,Jim,Air Conditioner,N,N,,,
ID0135,2015-01-03 11:03:50.400,Dan,Toaster,Y,Y,55.0,00:02:12.564000,1.0
ID0136,2015-01-03 11:03:50.400,Greg,Air Conditioner,Y,N,105.0,00:05:58.540000,3.0
ID0137,2015-01-03 11:06:43.200,Stewart,Washing Machine,Y,N,112.0,00:03:11.931000,5.0
ID0138,2015-01-03 11:06:43.200,Martha,Washing Machine,N,N,,,
ID0139,2015-01-03 11:16:48.000,Becky,Air Conditioner,Y,Y,43.0,00:06:20.209000,5.0
ID0140,2015-01-03 11:16:48.000,Joe,Toaster,Y,Y,20.0,00:01:44.040000,3.0
ID0141,2015-01-03 11:26:52.800,Greg,Air Conditioner,Y,Y,84.0,00:01:42.694000,5.0
ID0142,2015-01-03 11:26:52.800,Jim,Washing Machine,Y,Y,20.0,00:02:44.191000,4.0
ID0143,2015-01-03 11:38:24.000,Greg,Television,Y,Y,101.0,00:02:16.050000,3.0
ID0144,2015-01-03 11:38:24.000,Diane,Air Conditioner,Y,Y,31.0,00:02:55.278000,5.0
ID0145,2015-01-03 11:52:48.000,Jim,Washing Machine,Y,Y,56.0,00:04:09.415000,5.0
ID0146,2015-01-03 11:52:48.000,Joe,Washing Machine,N,N,,,
ID0147,2015-01-03 11:55:40.800,Joe,Toaster,Y,Y,77.0,00:01:27.486000,5.0
ID0148,2015-01-03 11:55:40.800,Jim,Toaster,Y,Y,46.0,00:00:49.579000,4.0
ID0149,2015-01-03 11:58:33.600,Stewart,Fridge,Y,Y,88.0,00:04:26.454000,3.0
ID0150,2015-01-03 11:58:33.600,Diane,Toaster,Y,Y,88.0,00:00:57.612000,1.0
ID0151,2015-01-03 12:33:07.200,Joe,Air Conditioner,Y,Y,124.0,00:06:02.548000,1.0
ID0152,2015-01-03 12:33:07.200,Stewart,Washing Machine,N,N,,,
ID0153,2015-01-03 12:54:43.200,Martha,Toaster,Y,N,52.0,00:06:59.001000,4.0
ID0154,2015-01-03 12:54:43.200,Joe,Fridge,Y,Y,67.0,00:06:10.334000,5.0
ID0155,2015-01-03 13:12:00.000,Martha,Toaster,Y,Y,119.0,00:04:16.448000,3.0
ID0156,2015-01-03 13:12:00.000,Dan,Fridge,Y,Y,98.0,00:04:37.131000,2.0
ID0157,2015-01-03 13:14:52.800,Jim,Air Conditioner,N,N,,,
ID0158,2015-01-03 13:14:52.800,Joe,Air Conditioner,Y,Y,118.0,00:04:17.716000,3.0
ID0159,2015-01-03 13:27:50.400,Becky,Fridge,Y,Y,123.0,00:01:15.174000,3.0
ID0160,2015-01-03 13:27:50.400,Becky,Television,Y,N,86.0,00:05:37.355000,1.0
ID0161,2015-01-03 13:35:02.400,Greg,Fridge,Y,Y,104.0,00:02:08.756000,3.0
ID0162,2015-01-03 13:35:02.400,Greg,Toaster,Y,Y,69.0,00:01:32.729000,2.0
ID0163,2015-01-03 13:58:04.800,Dan,Washing Machine,Y,Y,113.0,00:02:37.635000,1.0
ID0164,2015-01-03 13:58:04.800,Joe,Television,Y,Y,88.0,00:03:22.715000,5.0
ID0165,2015-01-03 13:58:04.800,Joe,Television,N,N,,,
ID0166,2015-01-03 13:58:04.800,Stewart,Toaster,N,N,,,
ID0167,2015-01-03 14:03:50.400,Joe,Toaster,Y,Y,84.0,00:00:58.262000,2.0
ID0168,2015-01-03 14:03:50.400,Diane,Television,Y,Y,113.0,00:01:22.001000,3.0
ID0169,2015-01-03 14:47:02.400,Joe,Television,Y,Y,38.0,00:05:30.685000,4.0
ID0170,2015-01-03 14:47:02.400,Dan,Television,Y,Y,14.0,00:06:14.058000,4.0
ID0171,2015-01-03 15:34:33.600,Martha,Television,Y,N,25.0,00:05:31.911000,4.0
ID0172,2015-01-03 15:34:33.600,Dan,Washing Machine,N,N,,,
ID0173,2015-01-03 16:29:16.800,Diane,Air Conditioner,N,N,,,
ID0174,2015-01-03 16:29:16.800,Joe,Toaster,Y,Y,117.0,00:02:07.080000,4.0
ID0175,2015-01-03 17:31:12.000,Stewart,Toaster,Y,N,57.0,00:06:00.990000,2.0
ID0176,2015-01-03 17:31:12.000,Martha,Air Conditioner,Y,Y,119.0,00:05:19.331000,5.0
ID0177,2015-01-04 09:01:26.400,Martha,Washing Machine,N,N,,,
ID0178,2015-01-04 09:01:26.400,Diane,Television,Y,Y,93.0,00:06:32.381000,5.0
ID0179,2015-01-04 09:31:40.800,Martha,Toaster,Y,Y,86.0,00:01:04.344000,4.0
ID0180,2015-01-04 09:31:40.800,Joe,Television,N,N,,,
ID0181,2015-01-04 09:43:12.000,Dan,Washing Machine,Y,Y,92.0,00:02:58.781000,3.0
ID0182,2015-01-04 09:43:12.000,Greg,Television,N,N,,,
ID0183,2015-01-04 10:03:21.600,Martha,Air Conditioner,Y,Y,106.0,00:05:41.737000,3.0
ID0184,2015-01-04 10:03:21.600,Stewart,Air Conditioner,Y,Y,67.0,00:02:44.353000,3.0
ID0185,2015-01-04 10:27:50.400,Jim,Television,Y,Y,90.0,00:04:16.560000,3.0
ID0186,2015-01-04 10:27:50.400,Diane,Air Conditioner,N,N,,,
ID0187,2015-01-04 11:09:36.000,Becky,Television,Y,N,50.0,00:03:49.359000,4.0
ID0188,2015-01-04 11:09:36.000,Diane,Fridge,Y,N,89.0,00:04:16.301000,3.0
ID0189,2015-01-04 11:13:55.200,Jim,Fridge,Y,Y,74.0,00:06:17.947000,3.0
ID0190,2015-01-04 11:13:55.200,Martha,Toaster,Y,Y,63.0,00:02:22.119000,2.0
ID0191,2015-01-04 11:18:14.400,Becky,Washing Machine,Y,Y,45.0,00:06:30.712000,5.0
ID0192,2015-01-04 11:18:14.400,Martha,Air Conditioner,N,N,,,
ID0193,2015-01-04 11:22:33.600,Dan,Toaster,Y,Y,31.0,00:06:42.963000,2.0
ID0194,2015-01-04 11:22:33.600,Joe,Television,N,N,,,
ID0195,2015-01-04 11:32:38.400,Joe,Washing Machine,Y,Y,43.0,00:03:43.796000,5.0
ID0196,2015-01-04 11:32:38.400,Martha,Television,Y,Y,50.0,00:05:41.681000,4.0
ID0197,2015-01-04 12:02:52.800,Dan,Air Conditioner,Y,Y,48.0,00:05:11.601000,4.0
ID0198,2015-01-04 12:02:52.800,Martha,Fridge,Y,Y,113.0,00:02:43.539000,5.0
ID0199,2015-01-04 12:15:50.400,Jim,Television,N,N,,,
ID0200,2015-01-04 12:15:50.400,Joe,Air Conditioner,Y,Y,103.0,00:06:40.064000,5.0
ID0201,2015-01-04 12:15:50.400,Becky,Air Conditioner,Y,N,95.0,00:04:27.490000,3.0
ID0202,2015-01-04 12:15:50.400,Joe,Fridge,Y,Y,30.0,00:05:03.906000,1.0
ID0203,2015-01-04 13:32:09.600,Greg,Fridge,Y,Y,124.0,00:03:18.690000,3.0
ID0204,2015-01-04 13:32:09.600,Diane,Fridge,Y,Y,17.0,00:02:02.941000,5.0
ID0205,2015-01-04 13:45:07.200,Stewart,Television,Y,Y,113.0,00:05:59.806000,3.0
ID0206,2015-01-04 13:45:07.200,Jim,Air Conditioner,Y,Y,25.0,00:02:27.192000,5.0
ID0207,2015-01-04 13:56:38.400,Jim,Fridge,Y,Y,52.0,00:04:22.401000,5.0
ID0208,2015-01-04 13:56:38.400,Dan,Fridge,Y,Y,28.0,00:02:43.736000,5.0
ID0209,2015-01-04 14:25:26.400,Greg,Air Conditioner,Y,Y,69.0,00:03:04.564000,3.0
ID0210,2015-01-04 14:25:26.400,Martha,Television,Y,Y,106.0,00:03:51.668000,3.0
ID0211,2015-01-04 14:28:19.200,Jim,Air Conditioner,N,N,,,
ID0212,2015-01-04 14:28:19.200,Joe,Toaster,Y,Y,26.0,00:04:59.157000,3.0
ID0213,2015-01-04 14:31:12.000,Joe,Toaster,Y,Y,53.0,00:05:55.142000,4.0
ID0214,2015-01-04 14:31:12.000,Martha,Air Conditioner,Y,Y,77.0,00:04:10.368000,2.0
ID0215,2015-01-04 14:49:55.200,Jim,Washing Machine,Y,Y,45.0,00:03:02.010000,3.0
ID0216,2015-01-04 14:49:55.200,Becky,Air Conditioner,N,N,,,
ID0217,2015-01-04 15:23:02.400,Greg,Television,Y,Y,56.0,00:04:16.386000,4.0
ID0218,2015-01-04 15:23:02.400,Stewart,Fridge,Y,Y,13.0,00:03:56.122000,2.0
ID0219,2015-01-04 15:48:57.600,Stewart,Fridge,Y,Y,120.0,00:06:49.860000,5.0
ID0220,2015-01-04 15:48:57.600,Diane,Toaster,Y,Y,22.0,00:00:50.081000,1.0
ID0221,2015-01-04 16:48:00.000,Martha,Toaster,Y,Y,81.0,00:03:20.598000,4.0
ID0222,2015-01-04 16:48:00.000,Jim,Television,N,N,,,
ID0223,2015-01-04 16:49:26.400,Martha,Washing Machine,Y,Y,71.0,00:00:47.697000,2.0
ID0224,2015-01-04 16:49:26.400,Stewart,Toaster,Y,Y,75.0,00:01:32.756000,4.0
ID0225,2015-01-04 16:49:26.400,Martha,Air Conditioner,Y,Y,77.0,00:02:42.417000,4.0
ID0226,2015-01-04 16:49:26.400,Joe,Television,Y,Y,88.0,00:06:26.608000,4.0
ID0227,2015-01-04 17:35:31.200,Stewart,Fridge,Y,Y,82.0,00:03:04.684000,2.0
ID0228,2015-01-04 17:35:31.200,Jim,Air Conditioner,Y,Y,110.0,00:06:29.884000,3.0
ID0229,2015-01-04 17:39:50.400,Martha,Fridge,Y,N,70.0,00:01:31.647000,3.0
ID0230,2015-01-04 17:39:50.400,Becky,Fridge,Y,Y,117.0,00:03:39.916000,3.0
ID0231,2015-01-05 09:08:38.400,Joe,Television,Y,Y,18.0,00:00:50.158000,3.0
ID0232,2015-01-05 09:08:38.400,Joe,Television,Y,Y,113.0,00:02:36.305000,4.0
ID0233,2015-01-05 09:25:55.200,Stewart,Washing Machine,Y,N,68.0,00:03:29.057000,5.0
ID0234,2015-01-05 09:25:55.200,Greg,Toaster,Y,Y,67.0,00:04:14.471000,5.0
ID0235,2015-01-05 09:33:07.200,Joe,Air Conditioner,Y,Y,36.0,00:01:07.357000,5.0
ID0236,2015-01-05 09:33:07.200,Stewart,Television,N,N,,,
ID0237,2015-01-05 10:00:28.800,Becky,Air Conditioner,Y,Y,33.0,00:02:30.043000,1.0
ID0238,2015-01-05 10:00:28.800,Dan,Washing Machine,Y,Y,113.0,00:01:59.468000,5.0
ID0239,2015-01-05 10:49:26.400,Greg,Washing Machine,Y,Y,106.0,00:06:18.555000,3.0
ID0240,2015-01-05 10:49:26.400,Joe,Television,Y,Y,23.0,00:04:58.795000,3.0
ID0241,2015-01-05 11:31:12.000,Joe,Television,N,N,,,
ID0242,2015-01-05 11:31:12.000,Greg,Toaster,Y,Y,11.0,00:04:42.003000,1.0
ID0243,2015-01-05 11:41:16.800,Greg,Washing Machine,Y,Y,73.0,00:04:44.892000,5.0
ID0244,2015-01-05 11:41:16.800,Dan,Fridge,Y,Y,109.0,00:04:48.584000,5.0
ID0245,2015-01-05 11:49:55.200,Martha,Toaster,Y,Y,29.0,00:04:13.971000,4.0
ID0246,2015-01-05 11:49:55.200,Dan,Television,N,N,,,
ID0247,2015-01-05 11:49:55.200,Becky,Fridge,Y,Y,81.0,00:01:14.420000,4.0
ID0248,2015-01-05 11:49:55.200,Greg,Washing Machine,Y,Y,59.0,00:03:52.244000,1.0
ID0249,2015-01-05 12:00:00.000,Becky,Television,Y,Y,32.0,00:06:28.917000,4.0
ID0250,2015-01-05 12:00:00.000,Martha,Fridge,Y,Y,116.0,00:00:42.429000,4.0
ID0251,2015-01-05 12:12:57.600,Diane,Toaster,Y,Y,92.0,00:01:54.864000,5.0
ID0252,2015-01-05 12:12:57.600,Greg,Television,Y,Y,62.0,00:06:01.750000,5.0
ID0253,2015-01-05 13:04:48.000,Joe,Toaster,Y,Y,83.0,00:01:52.759000,5.0
ID0254,2015-01-05 13:04:48.000,Joe,Fridge,Y,Y,71.0,00:02:30.887000,3.0
ID0255,2015-01-05 13:59:31.200,Greg,Fridge,Y,N,74.0,00:04:31.682000,3.0
ID0256,2015-01-05 13:59:31.200,Joe,Air Conditioner,Y,Y,96.0,00:05:46.149000,4.0
ID0257,2015-01-05 14:42:43.200,Diane,Fridge,Y,Y,110.0,00:01:41.324000,1.0
ID0258,2015-01-05 14:42:43.200,Jim,Television,Y,N,110.0,00:02:38.432000,3.0
ID0259,2015-01-05 15:18:43.200,Dan,Air Conditioner,Y,Y,117.0,00:03:02.750000,4.0
ID0260,2015-01-05 15:18:43.200,Becky,Fridge,Y,Y,44.0,00:05:52.740000,3.0
ID0261,2015-01-05 15:20:09.600,Diane,Washing Machine,Y,Y,47.0,00:06:02.097000,4.0
ID0262,2015-01-05 15:20:09.600,Greg,Fridge,Y,Y,97.0,00:01:15.971000,3.0
ID0263,2015-01-05 15:31:40.800,Greg,Television,Y,Y,67.0,00:02:39.315000,4.0
ID0264,2015-01-05 15:31:40.800,Diane,Television,Y,Y,72.0,00:06:47.635000,3.0
ID0265,2015-01-05 15:31:40.800,Becky,Washing Machine,Y,Y,68.0,00:04:21.345000,3.0
ID0266,2015-01-05 15:31:40.800,Joe,Toaster,Y,Y,98.0,00:06:21.743000,5.0
ID0267,2015-01-05 15:37:26.400,Joe,Television,Y,Y,120.0,00:00:55.669000,3.0
ID0268,2015-01-05 15:37:26.400,Dan,Toaster,Y,Y,13.0,00:02:32.963000,1.0
ID0269,2015-01-05 15:44:38.400,Jim,Fridge,Y,Y,95.0,00:01:47.320000,5.0
ID0270,2015-01-05 15:44:38.400,Martha,Toaster,Y,Y,31.0,00:00:41.691000,5.0
ID0271,2015-01-05 16:06:14.400,Dan,Television,Y,Y,113.0,00:06:21.806000,3.0
ID0272,2015-01-05 16:06:14.400,Martha,Air Conditioner,Y,Y,116.0,00:04:40.180000,3.0
ID0273,2015-01-05 16:16:19.200,Martha,Fridge,Y,N,94.0,00:05:28.797000,5.0
ID0274,2015-01-05 16:16:19.200,Martha,Fridge,Y,N,51.0,00:04:42.150000,4.0
ID0275,2015-01-05 16:27:50.400,Diane,Air Conditioner,Y,Y,60.0,00:04:07.487000,4.0
ID0276,2015-01-05 16:27:50.400,Diane,Washing Machine,Y,Y,59.0,00:06:04.306000,2.0
ID0277,2015-01-05 17:25:26.400,Stewart,Air Conditioner,N,N,,,
ID0278,2015-01-05 17:25:26.400,Greg,Toaster,N,N,,,
